Wall time,Step,Value
1672124023,5,0.858305633
1672124033,6,0.899657786
1672124070,10,0.938783228
1672124079,11,0.950042784
1672124098,13,0.956094027
1672124107,14,0.961214244
1672124117,15,0.962195575
1672124135,17,0.962950408
1672124145,18,0.969693542
1672124154,19,0.971693814
1672124163,20,0.973593473
1672124200,24,0.97919184
1672124285,33,0.979795694
1672124295,34,0.980638564
1672124313,36,0.981972098
1672124342,39,0.980374396
1672124351,40,0.984840453
1672124370,42,0.98105377
1672124389,44,0.985733688
1672124397,45,0.984903395
1672124416,47,0.981770813
1672124435,49,0.986438215
1672124444,50,0.983091772
1672124472,53,0.986362696
1672124482,54,0.982211173
1672124491,55,0.983620167
1672124501,56,0.988690138
1672124510,57,0.987834632
1672124539,60,0.989570737
1672124548,61,0.98700434
1672124567,63,0.989507854
1672124586,65,0.988690138
1672124596,66,0.99028784
1672124605,67,0.990237534
1672124615,68,0.991319418
1672124643,71,0.990715563
1672124652,72,0.989017189
1672124662,73,0.990665257
1672124672,74,0.99149555
1672124691,76,0.990212381
1672124719,79,0.990275264
1672124764,84,0.991998792
1672124774,85,0.99178493
1672124783,86,0.990677834
1672124792,87,0.993835568
1672124802,88,0.991898119
1672124812,89,0.991898119
1672124859,94,0.992426515
1672124935,102,0.992766201
1672124964,105,0.993508458
1672124973,106,0.993634284
1672125041,113,0.993219078
1672125069,116,0.99404943
1672125088,118,0.993999124
1672125098,119,0.994200408
1672125108,120,0.99101752
1672125146,124,0.994892299
1672125156,125,0.991734624
1672125165,126,0.994665861
1672125193,129,0.994552612
1672125202,130,0.993898451
1672125229,133,0.991269112
1672125264,137,0.995860994
1672125282,139,0.994992971
1672125299,141,0.994552612
1672125308,142,0.994074583
1672125317,143,0.994187772
1672125326,144,0.994678438
1672125344,146,0.994917452
1672125361,148,0.993030369
1672125379,150,0.99404943
1672125406,153,0.993017793
1672125415,154,0.996666193
1672125424,155,0.994628131
1672125443,157,0.994565189
1672125451,158,0.994967818
1672125460,159,0.994514883
1672125487,162,0.994112313
1672125505,164,0.995835841
1672125514,165,0.994099736
1672125532,167,0.994288445
1672125542,168,0.995156527
1672125571,171,0.995999396
1672125618,176,0.995609403
1672125628,177,0.994137466
1672125637,178,0.993156195
1672125656,180,0.994615555
1672125666,181,0.99514395
1672125685,183,0.995571673
1672125704,185,0.995055854
1672125714,186,0.995621979
1672125723,187,0.995798111
1672125733,188,0.994062006
1672125752,190,0.996074855
1672125762,191,0.995043278
1672125830,198,0.996074855
1672125868,202,0.995697439
1672125907,206,0.99408716
1672125916,207,0.996892631
1672125926,208,0.995345235
1672125965,212,0.995345235
1672125975,213,0.993797779
1672125994,215,0.99591136
1672126023,218,0.996603251
1672126032,219,0.995018125
1672126061,222,0.996666193
1672126070,223,0.996150374
1672126088,225,0.993118465
1672126097,226,0.996326506
1672126106,227,0.996729076
1672126124,229,0.995898724
1672126133,230,0.997194529
1672126142,231,0.995621979
1672126151,232,0.996213257
1672126160,233,0.995445848
1672126169,234,0.995408118
1672126196,237,0.994426847
1672126223,240,0.994514883
1672126260,244,0.995219409
1672126269,245,0.996892631
1672126287,247,0.994678438
1672126305,249,0.997169375
1672126314,250,0.995093584
1672126360,255,0.994212985
1672126388,258,0.994678438
1672126396,259,0.996666193
1672126406,260,0.995596826
1672126414,261,0.991709411
1672126433,263,0.995521307
1672126469,267,0.996716499
1672126487,269,0.995747805
1672126506,271,0.994930029
1672126524,273,0.992401361
1672126570,278,0.994263291
1672126588,280,0.995999396
1672126624,284,0.996993244
1672126670,289,0.997093916
1672126688,291,0.996905208
1672126697,292,0.996137798
1672126724,295,0.996842265
1672126743,297,0.996854842
1672126752,298,0.995382965
1672126761,299,0.987507522
1672126779,301,0.996477485
1672126788,302,0.995835841
1672126797,303,0.996578097
1672126834,307,0.994590402
1672126843,308,0.99623841
1672126861,310,0.994615555
1672126888,313,0.995206833
1672126924,317,0.996339083
1672126934,318,0.995521307
1672126943,319,0.996339083
1672126952,320,0.996502638
1672126970,322,0.995735228
1672126998,325,0.996401966
1672127007,326,0.994024277
1672127016,327,0.996427119
1672127044,330,0.992602646
1672127052,331,0.99631393
1672127071,333,0.996175528
1672127126,339,0.996326506
1672127144,341,0.996515214
